queue,avg_wait_time,avg_queue_length
0,8.820967382594986,.7341461805724575
1,1.115276899893578,.09282159663724898
2,4.518686030545883,.3760775859165514
0,8.854877264078063,.7379707841146241
1,1.110452702659647,.09254601660181712
2,4.585695599649628,.3821764569703996
0,8.711769999297386,.7254839719924889
1,1.114750163098973,.09283238048229535
2,4.489132689331515,.373838360576578
0,8.924437335986331,.7437849186872937
1,1.118262201762342,.09319843207332795
2,4.55349884998425,.3794990672116003
0,8.770486576712621,.7306937941363641
1,1.115220218591157,.09291211903609065
2,4.478596300528007,.3731243979013643
0,8.781966531564281,.7305515972682071
1,1.10710762932308,.09209784805043456
2,4.507981735322942,.3750090830173014
0,8.834263559227233,.7355655199070632
1,1.113056883572565,.09267612138334477
2,4.54024201745198,.3780323550166041
0,8.906286019537623,.7427121129016088
1,1.118323318365745,.09325910630632116
2,4.58216462023707,.3821149554692928
