queue,avg_wait_time,avg_queue_length
0,9.217174430009608,0.7739814366180048
1,1.04738616050292,0.08791759431261512
2,5.0275388133982455,0.4219613326085147
0,8.276316732107407,0.6911564061626232
1,1.113592356114951,0.0929404180413538
2,4.308673911093189,0.3595588378807266
0,8.21957711368039,0.6841154031716188
1,1.0948594456197935,0.09111420306447922
2,4.007028992681009,0.3334649527709136
0,8.510888526329719,0.7094676675548452
1,1.1013406370894419,0.09178572869503408
2,4.306688065445586,0.3589193833742352
0,9.391745368544866,0.7943538232715247
1,1.1012589220111537,0.09313346703448329
2,4.850288034038245,0.41014035615827393
0,9.106366913716274,0.7486344239766147
1,1.1134437134370925,0.09151393880739463
2,4.517270504983736,0.3712744628046131
0,8.515218879722054,0.7072740801497138
1,1.1144252797933794,0.09255301948684017
2,4.275598446539464,0.35504569500063704
0,7.9811876509557695,0.6560536249085642
1,1.1284034559866507,0.09275476408210269
2,4.828946353409617,0.3969732931105054
0,9.141086677605273,0.7496605184304083
1,1.1743882195555102,0.09629983400355184
2,4.0584058075417015,0.3327892762184195
0,8.536115937864313,0.7142168205211071
1,1.1310858556628316,0.09461533182619587
2,3.976223694427853,0.33261111203888993
