queue,avg_wait_time,avg_queue_length
0,8.820967382594986,0.7341461805724575
1,1.115276899893578,0.09282159663724898
2,4.518686030545883,0.3760775859165514
0,8.854877264078063,0.7379707841146241
1,1.110452702659647,0.09254601660181712
2,4.585695599649628,0.3821764569703996
0,8.711769999297386,0.7254839719924889
1,1.114750163098973,0.09283238048229536
2,4.489132689331515,0.373838360576578
0,8.924437335986331,0.7437849186872937
1,1.118262201762342,0.09319843207332797
2,4.55349884998425,0.3794990672116003
0,8.77048657671262,0.7306937941363641
1,1.115220218591157,0.09291211903609065
2,4.478596300528007,0.3731243979013643
0,8.781966531564281,0.7305515972682071
1,1.10710762932308,0.09209784805043456
2,4.507981735322942,0.3750090830173014
0,8.834263559227233,0.7355655199070632
1,1.113056883572565,0.09267612138334476
2,4.54024201745198,0.3780323550166041
0,8.906286019537623,0.7427121129016088
1,1.118323318365745,0.09325910630632116
2,4.58216462023707,0.3821149554692928
0,8.79621500716896,0.7333668333636727
1,1.110287970917121,0.09256781688752604
2,4.5650733889454,0.3806024939118729
0,8.778975602097088,0.7313027140156507
1,1.110686465459501,0.09252118219059538
2,4.501028959472165,0.3749397632500948
